InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
540306,20725,LUNCH BAG RED RETROSPOT,6,2011-10-04 18:18:00,0.82,13079.0,United Kingdom
539575,22633,HAND WARMER UNION JACK,6,2011-08-21 11:32:00,0.98,12956.0,France
537996,84406B,CREAM CUPID HEARTS COAT HANGER,2,2011-01-10 08:02:00,1.75,12681.0,Belgium
C538853,21232,STRAWBERRY CERAMIC TRINKET BOX,-5,2011-04-10 09:48:00,1.32,12822.0,France
537222,21232,STRAWBERRY CERAMIC TRINKET BOX,19,2010-03-12 12:02:00,2.67,12550.0,United Kingdom
537848,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2010-10-31 13:57:00,1.53,12644.0,United Kingdom
537006,22633,HAND WARMER UNION JACK,4,2011-10-19 15:31:00,1.09,12514.0,United Kingdom
538550,20727,LUNCH BAG BLACK SKULL,18,2010-09-03 17:12:00,3.22,12774.0,United Kingdom
537003,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2010-08-16 12:30:00,0.67,12513.0,United Kingdom
537464,22383,LUNCH BAG SUKI DESIGN,6,2011-06-07 17:53:00,1.33,12590.0,Portugal
538861,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-06-14 16:26:00,1.79,12823.0,United Kingdom
536040,47566,PARTY BUNTING,7,2011-08-25 13:13:00,3.03,12356.0,United Kingdom
539646,84406B,CREAM CUPID HEARTS COAT HANGER,5,2011-06-17 09:03:00,2.38,12971.0,United Kingdom
536129,21232,STRAWBERRY CERAMIC TRINKET BOX,22,2010-02-26 19:25:00,4.38,12373.0,United Kingdom
C538097,20727,LUNCH BAG BLACK SKULL,-2,2010-12-14 18:19:00,1.4,12699.0,United Kingdom
539901,22383,LUNCH BAG SUKI DESIGN,12,2011-07-05 17:41:00,2.47,13009.0,United Kingdom
538019,84406B,CREAM CUPID HEARTS COAT HANGER,12,2010-10-13 14:17:00,4.99,12684.0,Portugal
540430,22633,HAND WARMER UNION JACK,5,2011-10-13 10:13:00,1.36,13097.0,Switzerland
539307,84406B,CREAM CUPID HEARTS COAT HANGER,20,2011-02-15 09:50:00,7.95,12900.0,United Kingdom
537018,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,2011-08-19 14:27:00,3.22,12516.0,United Kingdom
543012,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,10,2011-08-17 08:33:00,3.6,13542.0,United Kingdom
537661,22803,PINK SPOTTY CUP,5,2010-11-21 12:57:00,3.58,12617.0,Netherlands
542084,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-11-03 15:59:00,0.86,13372.0,  United Kingdom  
539550,21232,STRAWBERRY CERAMIC TRINKET BOX,8,2011-10-11 14:21:00,0.95,12946.0,United Kingdom
542152,22633,HAND WARMER UNION JACK,8,2011-11-19 11:03:00,4.63,13390.0,United Kingdom
542476,84406B,CREAM CUPID HEARTS COAT HANGER,14,2011-11-17 11:41:00,2.83,13452.0,  United Kingdom  
541803,22633,HAND WARMER UNION JACK,3,2011-11-23 12:44:00,1.02,13323.0,United Kingdom
542485,71053,WHITE METAL LANTERN,11,2010-10-17 18:45:00,2.67,13452.0,United Kingdom
537099,22633,HAND WARMER UNION JACK,7,2011-12-04 15:01:00,2.63,12533.0,United Kingdom
539173,47566,PARTY BUNTING,8,2010-07-22 08:08:00,7.97,12880.0,United Kingdom
538833,37410,TWO DOOR CURTAIN,6,2011-07-23 14:58:00,21.4,12819.0,Netherlands
541610,84406B,CREAM CUPID HEARTS COAT HANGER,6,2011-06-02 08:40:00,1.9,13289.0,United Kingdom
541728,20725,LUNCH BAG RED RETROSPOT,8,2011-07-31 09:49:00,3.03,13313.0,France
539171,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2011-06-01 13:04:00,2.82,12880.0,  United Kingdom  
540767,84406B,CREAM CUPID HEARTS COAT HANGER,9,2011-02-15 14:41:00,5.58,13142.0,France
538532,20727,LUNCH BAG BLACK SKULL,10,2011-09-03 14:25:00,1.01,12772.0,United Kingdom
538028,71053,WHITE METAL LANTERN,12,2011-03-10 13:25:00,4.57,12686.0,Portugal
539602,84029E,RED WOOLLY HOTTIE WHITE HEART,11,2011-10-14 16:28:00,3.86,12964.0,United Kingdom
538076,84029E,RED WOOLLY HOTTIE WHITE HEART,11,2011-09-25 19:05:00,4.33,12697.0,EIRE
536196,84029E,RED WOOLLY HOTTIE WHITE HEART,11,2011-10-08 15:05:00,3.0,12382.0,United Kingdom
539252,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11,2011-09-23 08:28:00,1.93,12893.0,United Kingdom
536006,22633,HAND WARMER UNION JACK,4,2011-06-29 11:58:00,0.79,12349.0,United Kingdom
539246,22086,PAPER CHAIN KIT 50'S CHRISTMAS,14,2011-08-29 15:28:00,2.84,12893.0,United Kingdom
537849,22633,HAND WARMER UNION JACK,3,2010-09-23 11:38:00,0.63,12644.0,United Kingdom
540189,84029E,RED WOOLLY HOTTIE WHITE HEART,16,2011-05-02 13:15:00,5.37,13068.0,Spain
539503,21871,SAVE THE PLANET MUG,5,2011-10-12 13:46:00,1.94,12938.0,Spain
536841,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-06-28 17:18:00,3.21,12486.0,United Kingdom
542298,21871,SAVE THE PLANET MUG,21,2011-07-04 19:23:00,5.59,13414.0,United Kingdom
541666,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-11-04 16:10:00,1.06,13301.0,Belgium
540963,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-11-27 11:11:00,0.55,13170.0,United Kingdom
538168,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-01-24 12:01:00,0.87,12716.0,  France  
539376,84406B,CREAM CUPID HEARTS COAT HANGER,12,2011-04-04 11:20:00,7.17,12913.0,Australia
538965,21871,SAVE THE PLANET MUG,9,2011-05-04 19:26:00,1.32,12844.0,United Kingdom
539499,22632,HAND WARMER RED POLKA DOT,2,2011-05-26 15:46:00,1.36,12937.0,Belgium
537522,22423,REGENCY CAKESTAND 3 TIER,9,2011-06-09 08:08:00,15.28,12603.0,United Kingdom
540623,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2011-11-07 08:23:00,0.95,13119.0,United Kingdom
540323,84029E,RED WOOLLY HOTTIE WHITE HEART,5,2011-08-08 16:20:00,4.13,13080.0,United Kingdom
536661,22803,PINK SPOTTY CUP,4,2011-04-22 13:44:00,2.77,12460.0,United Kingdom
538638,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-10-10 12:32:00,1.59,12790.0,United Kingdom
540557,21871,SAVE THE PLANET MUG,10,2010-02-23 18:38:00,5.94,13111.0,United Kingdom
542763,71053,WHITE METAL LANTERN,15,2011-10-29 17:23:00,5.6,13502.0,United Kingdom
537275,71053,WHITE METAL LANTERN,5,2011-04-21 14:03:00,2.05,12559.0,Netherlands
539768,85123A,WHITE HANGING HEART T-LIGHT HOLDER,21,2010-02-11 09:59:00,8.07,12988.0,Spain
539344,84879,ASSORTED COLOUR BIRD ORNAMENT,10,2011-07-25 10:43:00,1.36,12906.0,Australia
540935,22423,REGENCY CAKESTAND 3 TIER,17,2011-11-17 08:21:00,21.03,13166.0,United Kingdom
539521,22423,REGENCY CAKESTAND 3 TIER,16,2011-09-05 15:27:00,19.67,12940.0,United Kingdom
541012,20725,LUNCH BAG RED RETROSPOT,2,2011-02-19 13:29:00,0.83,,United Kingdom
541614,37410,TWO DOOR CURTAIN,8,2011-04-19 10:58:00,7.28,13290.0,United Kingdom
536667,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2010-10-13 10:10:00,1.86,12462.0,  United Kingdom  
538553,84879,ASSORTED COLOUR BIRD ORNAMENT,7,2011-01-21 11:46:00,2.67,12774.0,United Kingdom
537730,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2011-06-18 09:46:00,3.15,12627.0,  United Kingdom  
541738,22383,LUNCH BAG SUKI DESIGN,10,2011-08-25 14:35:00,1.5,13315.0,United Kingdom
538066,22632,HAND WARMER RED POLKA DOT,9,2011-08-11 16:51:00,2.48,12695.0,  United Kingdom  
542154,84406B,CREAM CUPID HEARTS COAT HANGER,9,2011-10-26 16:49:00,5.17,13390.0,United Kingdom
542579,21232,STRAWBERRY CERAMIC TRINKET BOX,8,2011-05-22 08:16:00,2.66,13467.0,United Kingdom
536213,84406B,CREAM CUPID HEARTS COAT HANGER,4,2011-03-18 14:41:00,1.51,12386.0,United Kingdom
541768,84406B,CREAM CUPID HEARTS COAT HANGER,9,2010-10-25 14:38:00,5.21,13317.0,United Kingdom
536244,84029E,RED WOOLLY HOTTIE WHITE HEART,5,2011-11-24 12:43:00,4.62,12395.0,Switzerland
C536704,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,-9,2011-09-13 16:03:00,5.0,12470.0,France
540589,22086,PAPER CHAIN KIT 50'S CHRISTMAS,16,2011-08-27 08:35:00,7.14,13113.0,United Kingdom
539113,22803,PINK SPOTTY CUP,13,2010-04-22 16:39:00,2.21,12868.0,United Kingdom
540900,37410,TWO DOOR CURTAIN,5,2011-07-08 09:37:00,5.56,13159.0,United Kingdom
538128,22632,HAND WARMER RED POLKA DOT,11,2011-11-07 11:41:00,2.04,12707.0,United Kingdom
537528,22383,LUNCH BAG SUKI DESIGN,5,2011-12-03 12:43:00,1.82,12604.0,United Kingdom
538912,47566,PARTY BUNTING,6,2010-12-27 18:52:00,8.23,12830.0,United Kingdom
539269,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2011-03-25 13:39:00,2.01,12897.0,  United Kingdom  
537142,84879,ASSORTED COLOUR BIRD ORNAMENT,7,2011-07-23 09:47:00,3.1,12540.0,United Kingdom
538529,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2011-09-21 17:22:00,0.98,12771.0,United Kingdom
539824,22803,PINK SPOTTY CUP,11,2011-04-30 13:02:00,2.75,12995.0,United Kingdom
540088,21871,SAVE THE PLANET MUG,10,2011-06-26 18:31:00,1.89,13046.0,United Kingdom
537223,37410,TWO DOOR CURTAIN,9,2011-02-21 19:49:00,38.28,12550.0,United Kingdom
541051,84406B,CREAM CUPID HEARTS COAT HANGER,15,2011-06-06 13:38:00,5.22,13186.0,United Kingdom
540692,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2011-09-25 12:59:00,4.14,13133.0,United Kingdom
C539479,22633,HAND WARMER UNION JACK,-18,2011-07-09 15:34:00,4.66,12935.0,United Kingdom
536798,22423,REGENCY CAKESTAND 3 TIER,13,2010-10-30 17:32:00,30.69,12481.0,Spain
536016,21871,SAVE THE PLANET MUG,9,2010-10-08 16:23:00,1.95,12350.0,United Kingdom
539843,22423,REGENCY CAKESTAND 3 TIER,10,2011-10-06 17:56:00,11.19,12999.0,United Kingdom
537758,21730,GLASS STAR FROSTED T-LIGHT HOLDER,5,2011-02-04 15:29:00,3.37,12631.0,Germany
539248,22633,HAND WARMER UNION JACK,14,2011-01-13 10:04:00,2.11,12893.0,  United Kingdom  
542950,84029E,,13,2011-10-08 17:27:00,5.4,13530.0,United Kingdom
538878,22086,PAPER CHAIN KIT 50'S CHRISTMAS,8,2011-03-27 09:19:00,2.72,12828.0,Spain
538775,22383,LUNCH BAG SUKI DESIGN,2,2011-07-31 17:50:00,0.81,12810.0,Netherlands
539553,47566,PARTY BUNTING,3,2011-03-15 15:07:00,1.68,12947.0,United Kingdom
538235,20727,LUNCH BAG BLACK SKULL,2,2011-03-20 12:24:00,1.47,12729.0,United Kingdom
536653,20727,LUNCH BAG BLACK SKULL,4,2011-09-02 19:00:00,1.31,12459.0,Germany
541913,84406B,CREAM CUPID HEARTS COAT HANGER,9,2011-11-22 19:41:00,4.42,13343.0,  United Kingdom  
542674,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-02-23 08:13:00,1.33,13486.0,United Kingdom
538865,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-10-07 19:40:00,1.37,12825.0,EIRE
540017,84879,ASSORTED COLOUR BIRD ORNAMENT,7,2011-07-10 18:58:00,1.51,13029.0,United Kingdom
539049,71053,WHITE METAL LANTERN,14,2011-11-08 13:44:00,3.8,12861.0,  United Kingdom  
541930,22086,PAPER CHAIN KIT 50'S CHRISTMAS,17,2010-02-01 08:30:00,4.69,13343.0,United Kingdom
539457,21730,GLASS STAR FROSTED T-LIGHT HOLDER,13,2011-10-01 12:28:00,5.93,12932.0,United Kingdom
C540193,37410,TWO DOOR CURTAIN,-17,2011-06-17 09:07:00,15.28,13068.0,Spain
537899,22086,PAPER CHAIN KIT 50'S CHRISTMAS,7,2010-12-17 18:34:00,5.21,12655.0,Australia
541281,71053,WHITE METAL LANTERN,6,2010-05-26 16:03:00,6.26,13230.0,United Kingdom
540862,21730,GLASS STAR FROSTED T-LIGHT HOLDER,13,2011-04-26 18:13:00,5.19,13156.0,Australia
542011,22752,SET 7 BABUSHKA NESTING BOXES,6,2011-10-17 17:48:00,3.58,13357.0,United Kingdom
540770,22752,SET 7 BABUSHKA NESTING BOXES,18,2010-11-15 17:05:00,22.1,13142.0,France
542140,21232,STRAWBERRY CERAMIC TRINKET BOX,9,2011-06-06 08:07:00,1.61,13386.0,United Kingdom
536407,47566,PARTY BUNTING,10,2011-11-06 12:41:00,3.88,12419.0,United Kingdom
538298,21871,SAVE THE PLANET MUG,18,2010-07-23 17:59:00,2.34,,United Kingdom
541127,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,2011-07-09 17:21:00,4.69,13197.0,United Kingdom
538048,21232,STRAWBERRY CERAMIC TRINKET BOX,2,2011-02-14 18:59:00,1.27,12691.0,Switzerland
538715,47566,PARTY BUNTING,9,2011-09-22 11:32:00,3.63,,United Kingdom
538303,22423,REGENCY CAKESTAND 3 TIER,15,2010-10-23 09:29:00,14.34,12740.0,United Kingdom
538800,22633,HAND WARMER UNION JACK,6,2011-10-02 09:50:00,1.04,12815.0,Switzerland
C538945,22383,LUNCH BAG SUKI DESIGN,-2,2010-07-23 17:56:00,0.73,12838.0,Belgium
539409,71053,WHITE METAL LANTERN,4,2010-10-24 19:27:00,2.75,12921.0,United Kingdom
536860,37410,TWO DOOR CURTAIN,2,2011-07-03 11:31:00,8.22,12490.0,  United Kingdom  
536989,22383,LUNCH BAG SUKI DESIGN,8,2011-07-19 15:19:00,0.9,12510.0,United Kingdom
536343,20725,LUNCH BAG RED RETROSPOT,1,2011-03-21 08:07:00,0.97,12409.0,EIRE
542405,22633,HAND WARMER UNION JACK,6,2011-08-12 16:10:00,1.58,13442.0,United Kingdom
542926,84029E,RED WOOLLY HOTTIE WHITE HEART,10,2011-08-21 16:25:00,5.41,13527.0,United Kingdom
542221,20727,LUNCH BAG BLACK SKULL,7,2011-09-15 11:39:00,2.91,13399.0,France
542975,37410,TWO DOOR CURTAIN,5,2011-09-19 15:02:00,16.51,13534.0,United Kingdom
536235,47566,PARTY BUNTING,6,2011-08-16 10:40:00,2.98,12392.0,United Kingdom
540755,47566,PARTY BUNTING,16,2011-10-25 16:01:00,12.59,13142.0,France
540927,21232,STRAWBERRY CERAMIC TRINKET BOX,10,2011-10-22 18:46:00,2.46,13165.0,Switzerland
540096,22752,SET 7 BABUSHKA NESTING BOXES,7,2011-07-10 17:59:00,5.44,13047.0,  United Kingdom  
539658,84879,ASSORTED COLOUR BIRD ORNAMENT,14,2011-03-16 17:20:00,2.48,12973.0,United Kingdom
539743,47566,PARTY BUNTING,2,2011-02-16 09:00:00,2.72,12983.0,United Kingdom
542770,84406B,CREAM CUPID HEARTS COAT HANGER,13,2011-03-10 12:14:00,7.62,13502.0,United Kingdom
536175,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2011-06-28 18:16:00,2.36,12379.0,United Kingdom
536046,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2,2011-11-12 16:36:00,1.07,12357.0,United Kingdom
541008,37410,TWO DOOR CURTAIN,10,2011-07-07 14:19:00,9.23,13175.0,Switzerland
540138,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-11-20 16:32:00,1.36,13060.0,France
538845,47566,PARTY BUNTING,3,2011-11-09 15:26:00,5.2,12821.0,United Kingdom
536076,22803,PINK SPOTTY CUP,8,2011-02-02 08:04:00,1.64,12363.0,Australia
537763,37410,TWO DOOR CURTAIN,9,2011-09-11 17:55:00,23.31,12632.0,Germany
537204,22423,REGENCY CAKESTAND 3 TIER,7,2011-08-22 19:34:00,27.49,12550.0,United Kingdom
538959,21730,GLASS STAR FROSTED T-LIGHT HOLDER,7,2011-09-19 17:16:00,4.09,12844.0,United Kingdom
540708,22423,REGENCY CAKESTAND 3 TIER,3,2011-08-19 10:30:00,12.67,13136.0,United Kingdom
C539380,22803,PINK SPOTTY CUP,-4,2011-10-12 14:56:00,1.34,12914.0,Netherlands
542831,37410,TWO DOOR CURTAIN,13,2011-08-27 08:13:00,13.92,13509.0,Switzerland
536656,22632,HAND WARMER RED POLKA DOT,8,2011-07-31 10:28:00,1.56,12459.0,Germany
537852,22752,SET 7 BABUSHKA NESTING BOXES,4,2010-08-14 12:51:00,4.77,12646.0,United Kingdom
536534,37410,TWO DOOR CURTAIN,6,2011-11-14 17:05:00,19.31,12434.0,United Kingdom
541812,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-08-12 08:14:00,0.95,13324.0,United Kingdom
538714,20725,LUNCH BAG RED RETROSPOT,6,2011-11-06 17:49:00,1.17,12800.0,United Kingdom
537739,71053,WHITE METAL LANTERN,3,2011-10-22 19:36:00,3.69,,United Kingdom
542185,22632,HAND WARMER RED POLKA DOT,9,2011-05-23 16:59:00,2.81,13392.0,United Kingdom
537383,21232,STRAWBERRY CERAMIC TRINKET BOX,4,2011-10-09 19:06:00,3.58,12576.0,United Kingdom
536914,22383,LUNCH BAG SUKI DESIGN,9,2011-10-04 09:42:00,2.67,12498.0,Germany
536275,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11,2011-04-21 18:43:00,4.37,12397.0,United Kingdom
537981,21871,SAVE THE PLANET MUG,7,2011-06-22 18:23:00,1.0,12677.0,United Kingdom
540205,20727,LUNCH BAG BLACK SKULL,10,2011-01-13 09:28:00,4.81,13068.0,Spain
541279,22383,LUNCH BAG SUKI DESIGN,4,2011-01-30 14:58:00,1.36,13230.0,United Kingdom
536599,21232,STRAWBERRY CERAMIC TRINKET BOX,7,2011-04-05 09:21:00,2.08,12444.0,Portugal
536020,22383,LUNCH BAG SUKI DESIGN,4,2010-08-24 17:07:00,0.58,12353.0,United Kingdom
536000,47566,PARTY BUNTING,3,2011-03-01 17:22:00,1.82,12346.0,United Kingdom
542885,22632,HAND WARMER RED POLKA DOT,2,2011-11-14 14:31:00,0.99,13519.0,Belgium
541101,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,13,2011-05-21 09:12:00,5.19,13194.0,United Kingdom
539450,21232,STRAWBERRY CERAMIC TRINKET BOX,4,2011-04-23 08:39:00,1.01,12931.0,United Kingdom
542660,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2010-10-17 12:43:00,6.55,13484.0,United Kingdom
538417,71053,WHITE METAL LANTERN,7,2011-08-21 19:46:00,3.52,12761.0,United Kingdom
536727,71053,WHITE METAL LANTERN,3,2011-04-13 19:47:00,2.41,12471.0,EIRE
537228,22383,LUNCH BAG SUKI DESIGN,4,2011-06-30 16:48:00,1.46,12551.0,United Kingdom
539494,21232,STRAWBERRY CERAMIC TRINKET BOX,8,2011-07-27 11:45:00,6.07,12935.0,United Kingdom
538909,71053,WHITE METAL LANTERN,7,2010-11-13 16:40:00,9.1,12830.0,United Kingdom
540062,22752,SET 7 BABUSHKA NESTING BOXES,7,2010-10-25 09:32:00,7.35,13039.0,United Kingdom
538293,85123A,WHITE HANGING HEART T-LIGHT HOLDER,22,2010-12-31 10:42:00,7.28,12740.0,United Kingdom
536767,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2011-10-02 18:24:00,1.31,12476.0,United Kingdom
542369,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,2011-09-04 09:15:00,2.0,13434.0,United Kingdom
542527,20727,LUNCH BAG BLACK SKULL,4,2011-11-30 17:12:00,0.8,13459.0,United Kingdom
537464,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2,2011-06-07 17:53:00,2.05,12590.0,Portugal
C541382,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,-4,2011-04-23 18:57:00,2.45,13246.0,United Kingdom
541825,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,2010-08-27 16:16:00,5.28,13325.0,United Kingdom
538239,20727,LUNCH BAG BLACK SKULL,5,2011-10-11 13:22:00,1.57,12730.0,United Kingdom
C539118,22423,REGENCY CAKESTAND 3 TIER,-7,2010-11-16 11:01:00,6.46,12869.0,United Kingdom
538945,22632,HAND WARMER RED POLKA DOT,4,2010-07-23 17:56:00,0.48,12838.0,Belgium
541022,22423,REGENCY CAKESTAND 3 TIER,10,2011-09-29 12:43:00,10.19,13178.0,United Kingdom
538891,84406B,CREAM CUPID HEARTS COAT HANGER,14,2011-10-28 17:48:00,6.51,12830.0,United Kingdom
538168,84029E,RED WOOLLY HOTTIE WHITE HEART,4,2011-01-24 12:01:00,1.59,12716.0,France
541789,71053,WHITE METAL LANTERN,4,2011-10-19 16:19:00,3.36,13320.0,United Kingdom
541092,22383,LUNCH BAG SUKI DESIGN,7,2011-05-16 17:23:00,1.22,13192.0,EIRE
542070,37410,TWO DOOR CURTAIN,3,2011-11-06 09:11:00,3.59,13368.0,Netherlands
537411,37410,TWO DOOR CURTAIN,6,2011-08-24 08:19:00,10.48,12582.0,EIRE
537844,21871,SAVE THE PLANET MUG,3,2011-11-09 12:16:00,1.25,12642.0,United Kingdom
537155,21730,GLASS STAR FROSTED T-LIGHT HOLDER,13,2011-07-12 09:22:00,6.11,12541.0,United Kingdom
537923,47566,PARTY BUNTING,6,2011-09-15 08:39:00,2.62,12658.0,United Kingdom
542557,47566,PARTY BUNTING,13,2011-08-30 09:39:00,8.45,13462.0,United Kingdom
542884,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2011-12-09 17:19:00,2.34,13519.0,Belgium
539650,20725,LUNCH BAG RED RETROSPOT,3,2011-06-01 13:48:00,0.7,12972.0,United Kingdom
542666,22633,HAND WARMER UNION JACK,15,2010-05-26 16:54:00,3.74,13484.0,United Kingdom
538246,22423,REGENCY CAKESTAND 3 TIER,6,2011-08-27 11:07:00,15.38,12734.0,United Kingdom
542802,22633,HAND WARMER UNION JACK,7,2010-01-09 14:50:00,4.28,13503.0,United Kingdom
536132,22423,REGENCY CAKESTAND 3 TIER,12,2010-04-27 15:32:00,15.6,12373.0,United Kingdom
536389,47566,PARTY BUNTING,2,2011-03-01 12:49:00,3.49,12415.0,Switzerland
540078,71053,WHITE METAL LANTERN,6,2011-09-10 10:44:00,1.83,13045.0,United Kingdom
541969,21232,STRAWBERRY CERAMIC TRINKET BOX,13,2011-07-17 13:44:00,3.9,13348.0,United Kingdom
540099,84029E,RED WOOLLY HOTTIE WHITE HEART,13,2011-11-19 15:10:00,4.81,13048.0,Portugal
541918,22383,LUNCH BAG SUKI DESIGN,8,2011-08-19 10:38:00,4.56,13343.0,United Kingdom
541422,22803,PINK SPOTTY CUP,6,2010-12-20 13:10:00,2.63,13253.0,Spain
539961,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-08-12 12:02:00,2.94,13021.0,United Kingdom
541331,37410,TWO DOOR CURTAIN,13,2011-12-01 10:54:00,16.32,,Portugal
C540762,84879,ASSORTED COLOUR BIRD ORNAMENT,-9,2011-05-05 15:02:00,5.09,13142.0,France
538277,20727,LUNCH BAG BLACK SKULL,10,2011-11-11 11:28:00,2.57,12740.0,United Kingdom
542659,22423,REGENCY CAKESTAND 3 TIER,12,2010-04-16 09:34:00,33.96,13484.0,United Kingdom
538814,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-10-22 13:17:00,2.86,12818.0,United Kingdom
538439,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2011-07-15 16:45:00,3.41,12764.0,United Kingdom
542343,22633,HAND WARMER UNION JACK,9,2011-10-07 15:02:00,1.43,13425.0,Netherlands
540424,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-12-08 16:54:00,2.22,13095.0,United Kingdom
540896,21871,SAVE THE PLANET MUG,12,2011-03-31 19:32:00,4.38,13157.0,United Kingdom
540565,84029E,RED WOOLLY HOTTIE WHITE HEART,16,2010-12-31 19:33:00,6.85,13111.0,United Kingdom
538541,84406B,CREAM CUPID HEARTS COAT HANGER,20,2011-09-30 16:12:00,3.17,12774.0,United Kingdom
540539,22632,HAND WARMER RED POLKA DOT,12,2011-11-15 08:32:00,5.41,13111.0,United Kingdom
538044,20727,LUNCH BAG BLACK SKULL,8,2011-02-08 12:47:00,1.25,12689.0,United Kingdom
542508,22632,HAND WARMER RED POLKA DOT,11,2011-06-06 18:01:00,2.55,13455.0,United Kingdom
542789,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2011-04-09 16:51:00,7.01,13503.0,United Kingdom
540611,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-06-24 17:27:00,1.69,13115.0,  United Kingdom  
538807,21232,STRAWBERRY CERAMIC TRINKET BOX,4,2011-03-18 17:08:00,1.93,12816.0,Spain
540960,21232,STRAWBERRY CERAMIC TRINKET BOX,9,2011-09-17 18:26:00,2.38,13168.0,United Kingdom
538445,21871,SAVE THE PLANET MUG,3,2011-11-14 11:23:00,0.78,12765.0,United Kingdom
539348,22632,HAND WARMER RED POLKA DOT,13,2011-04-23 17:48:00,2.2,12906.0,Australia
536476,84406B,CREAM CUPID HEARTS COAT HANGER,2,2010-08-19 16:15:00,1.16,12428.0,  United Kingdom  
536374,37410,TWO DOOR CURTAIN,18,2009-12-29 16:34:00,16.44,12414.0,  Spain  
539557,84406B,CREAM CUPID HEARTS COAT HANGER,5,2010-12-29 19:40:00,0.9,12949.0,United Kingdom
541132,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-09-19 16:57:00,5.34,13200.0,United Kingdom
537735,22086,PAPER CHAIN KIT 50'S CHRISTMAS,13,2010-11-21 13:16:00,5.39,12627.0,United Kingdom
537637,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,17,2010-09-29 19:28:00,6.69,12616.0,United Kingdom
536545,22633,HAND WARMER UNION JACK,12,2011-10-14 09:03:00,2.15,12436.0,Germany
538725,20727,LUNCH BAG BLACK SKULL,4,2011-10-16 09:03:00,2.69,12801.0,EIRE
542041,22803,PINK SPOTTY CUP,13,2011-07-26 15:23:00,4.66,13364.0,United Kingdom
540006,22086,PAPER CHAIN KIT 50'S CHRISTMAS,12,2011-05-13 15:47:00,3.94,13028.0,EIRE
538808,47566,PARTY BUNTING,6,2011-04-10 14:17:00,4.35,12816.0,Spain
537691,22423,REGENCY CAKESTAND 3 TIER,6,2011-08-10 09:02:00,13.64,12621.0,United Kingdom
542551,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2011-08-26 14:18:00,4.46,13462.0,  United Kingdom  
537106,84029E,RED WOOLLY HOTTIE WHITE HEART,9,2011-06-26 09:56:00,2.55,12533.0,United Kingdom
541383,71053,WHITE METAL LANTERN,5,2011-01-06 17:09:00,1.46,13246.0,United Kingdom
542018,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2,2011-11-08 11:59:00,1.07,13359.0,United Kingdom
538070,22632,HAND WARMER RED POLKA DOT,8,2011-03-11 19:42:00,1.18,12696.0,United Kingdom
541225,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-11-10 10:33:00,1.91,13218.0,United Kingdom
